last recorded time,rain last 10 mins,current rain total,rain rate last 10 mins,rain rate average,rain duration in mins
2020-11-16 00:05:00,0,0,0.4,0,0
2020-11-16 00:15:00,0.2,0.2,0.4,0.8,10
2020-11-16 00:25:00,0.8,1,1.2,1.0,20
2020-11-16 00:35:00,0.2,1.2,1.4,1.13,30
2020-11-16 00:45:00,0.6,1.8,2,1.35,40
2020-11-16 00:55:00,0.0,1.8,1.8,1.44,50
2020-11-16 01:05:00,1.0,2.8,2.8,1.67,60
2020-11-16 01:15:00,1.2,4,3.8,1.97,70
2020-11-16 01:25:00,0.4,4.4,3.4,2.15,80
2020-11-16 01:35:00,0.4,4.8,3.6,2.31,90
2020-11-16 01:45:00,0.2,5,3.2,2.4,100
2020-11-16 01:55:00,0.2,5.2,3.4,2.49,110
2020-11-16 02:05:00,0.0,5.2,2.4,2.48,120
2020-11-16 02:15:00,0.2,5.4,1.4,2.4,130
2020-11-16 02:25:00,0.0,5.4,1,2.3,140
2020-11-16 02:35:00,0.0,5.4,0.6,2.19,150
2020-11-16 02:45:00,0.0,5.4,0.4,2.08,160
2020-11-16 02:55:00,0.0,5.4,0.2,1.96,170
2020-11-16 03:05:00,0.0,5.4,0.2,1.87,180
2020-11-16 03:15:00,0.0,5.4,0,1.77,190
2020-11-16 03:25:00,0.0,5.4,0,1.68,200
2020-11-16 03:35:00,0.0,5.4,0,1.6,210
2020-11-16 03:45:00,0.2,5.6,0.2,1.54,220
2020-11-16 03:55:00,0.0,5.6,0.2,1.48,230
2020-11-16 04:05:00,0.4,6,0.6,1.44,240
2020-11-16 04:15:00,1,7,1.6,1.45,250
2020-11-16 04:25:00,0,7,1.6,1.45,260
2020-11-16 04:35:00,0.2,7.2,1.8,1.47,270
2020-11-16 04:45:00,0.0,7.2,1.6,1.47,280
2020-11-16 04:55:00,0.2,7.4,1.8,1.48,290
2020-11-16 05:05:00,0.0,7.4,1.4,1.48,300
2020-11-16 05:15:00,0.0,7.4,0.4,1.45,310
2020-11-16 05:25:00,0.0,7.4,0.4,1.41,320
2020-11-16 05:35:00,0.0,7.4,0.2,1.38,330
2020-11-16 05:45:00,0.0,7.4,0.2,1.34,340
2020-11-16 05:55:00,0.0,7.4,0,1.3,350
2020-11-16 06:05:00,0.4,7.8,0.4,1.28,360
2020-11-16 06:15:00,0.6,8.4,1,1.27,370
2020-11-16 06:25:00,0.6,9,1.6,1.28,380
2020-11-16 06:35:00,0.2,9.2,1.8,1.29,390
2020-11-16 06:45:00,0.0,9.2,1.8,1.31,400
2020-11-16 06:55:00,0.0,9.2,1.8,1.32,410
2020-11-16 07:05:00,0.0,9.2,1.4,1.32,420
2020-11-16 07:15:00,0.0,9.2,0.8,1.31,430
2020-11-16 07:25:00,0.0,9.2,0.2,1.28,440
2020-11-16 07:35:00,0.0,9.2,0,1.25,450
2020-11-16 07:45:00,0.0,9.2,0,1.23,460
2020-11-16 07:55:00,0.0,9.2,0,1.2,470
2020-11-16 08:05:00,0.0,9.2,0,1.18,480
2020-11-16 08:15:00,0.0,9.2,0,1.15,490
2020-11-16 08:25:00,0.0,9.2,0,1.13,500
2020-11-16 08:35:00,0.0,9.2,0,1.11,510
2020-11-16 08:45:00,0.0,9.2,0,1.08,520
2020-11-16 08:55:00,0.0,9.2,0,1.06,530
2020-11-16 09:05:00,0.0,9.2,0,1.04,540
2020-11-16 09:15:00,0.0,9.2,0,1.03,550
2020-11-16 09:25:00,0.0,9.2,0,1.01,560
2020-11-16 09:35:00,0.0,9.2,0,0.99,570
2020-11-16 09:45:00,0.0,9.2,0,0.97,580
2020-11-16 09:55:00,0.0,9.2,0,0.96,590
2020-11-16 10:05:00,0.0,9.2,0,0.94,600
2020-11-16 10:15:00,0.0,9.2,0,0.92,610
2020-11-16 10:25:00,0.0,9.2,0,0.91,620
2020-11-16 10:35:00,0.2,9.4,0.2,0.9,630
2020-11-16 10:45:00,0.0,9.4,0.2,0.89,640
2020-11-16 10:55:00,0.0,9.4,0.2,0.88,650
2020-11-16 11:05:00,0.0,9.4,0.2,0.87,660
2020-11-16 11:15:00,0.0,9.4,0.2,0.86,670
2020-11-16 11:25:00,0.0,9.4,0.2,0.85,680
2020-11-16 11:35:00,0.0,9.4,0,0.83,690
2020-11-16 11:45:00,0.2,9.6,0.2,0.83,700
2020-11-16 11:55:00,0.0,9.6,0.2,0.82,710
2020-11-16 12:05:00,0.0,9.6,0.2,0.81,720
2020-11-16 12:15:00,0.0,9.6,0.2,0.8,730
2020-11-16 12:25:00,0.0,9.6,0.2,0.79,740
2020-11-16 12:35:00,0.0,9.6,0.2,0.78,750
2020-11-16 12:45:00,0.0,9.6,0,0.77,760
2020-11-16 12:55:00,0.0,9.6,0,0.76,770
2020-11-16 13:05:00,0.0,9.6,0,0.75,780
2020-11-16 13:15:00,0.0,9.6,0,0.74,790
2020-11-16 13:25:00,0.0,9.6,0,0.73,800
2020-11-16 13:35:00,0.0,9.6,0,0.73,810
2020-11-16 13:45:00,0.0,9.6,0,0.72,820
2020-11-16 13:55:00,0.0,9.6,0,0.71,830
2020-11-16 14:05:00,0.2,9.8,0.8,0.71,840
2020-11-16 14:15:00,1.1,10.9,1.6,0.72,850
2020-11-16 14:25:00,0.3,11.2,2.5,0.74,860
2020-11-16 14:35:00,0.8,12.0,2.0,0.76,870
2020-11-16 14:45:00,0.6,12.6,1.2,0.76,880
